S1 X osa,S2 X osa,S3 X osa,S4 X osa,S5 X osa,S6 X osa,Average,S1 Y osa,S2 Y osa,S3 Y osa,S4 Y osa,S5 Y osa,S6 Y osa,Average,S1 Z osa,S2 Z osa,S3 Z osa,S4 Z osa,S5 Z osa,S6 Z osa,Average
-76.987434,-118.23516,-66.150749,-78.96067,-37.866745,-85.637825,-77.3064305,-2778.581665,-2821.042664,-2801.058594,-2853.543152,-2824.797424,-2831.459412,-2818.413819,605.892029,627.420593,661.235413,633.923401,616.215881,588.906311,622.2656047
-77.552696,-119.270591,-67.13285,-80.638282,-38.703506,-86.042305,-78.22337167,-2807.998901,-2853.910889,-2839.249451,-2887.427246,-2855.826294,-2857.63855,-2850.341889,581.715393,596.467835,632.997131,597.651306,584.670349,556.381897,591.6473185
-78.287925,-120.267723,-68.107353,-81.42939,-39.034446,-86.9654,-79.01537283,-2837.979248,-2886.285522,-2877.625,-2920.000366,-2887.061584,-2883.271118,-2882.03714,557.378113,564.435242,602.717102,560.358826,553.470154,524.23468,560.4323528
-80.31269,-121.708747,-70.413551,-82.317024,-38.77491,-85.808906,-79.88930467,-2865.916687,-2918.505127,-2916.053894,-2951.410645,-2915.492493,-2910.332031,-2912.951813,533.311951,532.294617,571.650208,522.422058,528.471863,493.213684,530.2273968
-85.822349,-122.733802,-75.874549,-75.268837,-37.693275,-80.366035,-79.6264745,-2896.970215,-2946.024658,-2949.338562,-2978.2323,-2937.668335,-2938.798645,-2941.172119,524.257263,519.468201,559.052063,503.99115,521.122864,482.245422,518.3561605
-89.355293,-116.307228,-70.264839,-65.836051,-36.348381,-80.283012,-76.399134,-2926.845886,-2979.919617,-2978.803467,-2996.682129,-2954.276001,-2943.900391,-2963.404582,531.584656,511.954651,555.622009,497.174622,517.648621,483.187439,516.195333
-93.658012,-107.52877,-63.840202,-58.216682,-36.675605,-79.883354,-73.3004375,-2956.179565,-3009.82489,-3006.815369,-3013.177673,-2970.164856,-2971.10376,-2987.877686,535.462952,505.699768,550.368713,490.186218,517.027893,481.385803,513.3552245
-96.676445,-101.717079,-57.026176,-53.190239,-38.601249,-83.554222,-71.794235,-2988.492065,-3037.038147,-3033.708252,-3029.544006,-2987.36676,-2988.610229,-3010.793243,537.966736,499.639343,543.616516,483.502503,517.341126,481.296082,510.5603843
-96.206337,-95.983772,-50.919715,-52.169364,-41.321739,-87.128395,-70.62155367,-3019.072327,-3062.741516,-3057.943237,-3048.163269,-3007.869263,-3010.90271,-3034.44872,538.332947,493.397766,536.599426,477.391296,515.005921,482.528626,507.2093303
-94.478614,-93.980598,-45.466423,-52.505409,-43.23574,-92.452949,-70.35328883,-3047.904358,-3089.228455,-3082.872192,-3069.869995,-3030.680908,-3036.608459,-3059.527395,538.297424,492.508484,529.848084,472.856018,510.012634,482.70929,504.371989
-91.286125,-93.074104,-41.465385,-56.311409,-45.822227,-96.975929,-70.82252983,-3075.971191,-3118.608337,-3106.783997,-3091.386169,-3053.812927,-3062.699219,-3084.876973,537.070984,488.154968,521.54718,466.344544,503.998352,482.221741,499.8896282
-88.863792,-93.947425,-37.535491,-60.734779,-49.393699,-101.290016,-71.960867,-3104.006592,-3142.934021,-3130.070313,-3113.765198,-3077.103882,-3089.102661,-3109.497111,534.831482,486.750427,512.270447,459.173157,497.492249,480.758972,495.212789
-84.599937,-93.179466,-35.770393,-65.438148,-52.601646,-104.584434,-72.69567067,-3133.229675,-3168.943726,-3154.287476,-3136.423828,-3100.47998,-3116.121948,-3134.914439,530.310486,482.164856,500.088318,451.501526,490.54242,479.373718,488.9968873
-80.328407,-92.304405,-33.757392,-67.725837,-55.954902,-108.390052,-73.0768325,-3160.926331,-3194.927979,-3176.641907,-3157.357544,-3124.021362,-3144.141541,-3159.669444,524.693421,476.51886,487.974915,443.85553,483.034729,477.005798,482.1805422
-75.752815,-91.100212,-32.547256,-74.515739,-59.872688,-111.082191,-74.14515017,-3188.49939,-3220.813416,-3198.561401,-3183.10022,-3148.026489,-3172.096252,-3185.182861,517.356751,469.466004,474.928162,436.326111,474.413147,473.817444,474.3846032
-70.964607,84.903954,-32.150817,-78.505195,-62.638282,-110.970405,-45.05422533,-3215.700317,-2202.09375,-3220.600647,-3206.718689,-3171.763123,-3201.309204,-3036.364288,508.369934,-692.236267,461.146057,427.09137,466.250427,469.708923,273.3884073
-65.939186,-56.031562,84.903954,84.903954,-66.045204,-111.307624,-21.58594467,-3242.146729,-3289.496582,-2202.09375,-2202.09375,-3195.964539,-3230.1427,-2893.656342,497.531677,428.228211,-692.236267,-692.236267,457.269226,464.476135,77.17211917
